Address,City,State,Zip,All Services,Zinc Treatment,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,,Roof Details >> Roof: >> Type,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size,,,
13509 168th Avenue Northeast,Redmond,Washington,98052,"Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $185), Gutter Clearing (1, $345), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $270), Interior Window Cleaning (1, $175), Exterior Window Cleaning (1, $240), Screen Cleaning (1, $45), Track Cleaning (1, $148), Window Frame Cleaning  (1, $96), Skylight Cleaning (1, $115), Booking Discount (1, $-80)",185,Composite - Presidential,3560,1807700,1799000,N/A,,Composite - Presidential,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
13511 37th Avenue Northeast,Seattle,Washington,98125,"Inclusions (1, $0), Moss Removal (1, $325), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $175), Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-75), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $985), Interior Window Cleaning (1, $145), Exterior Window Cleaning (1, $190), Screen Cleaning (1, $30), Track Cleaning (1, $123), Window Frame Cleaning  (1, $76), Window Cleaning Discount (1, $-35), Partial Downspout Installation (1, $200), Rake Board Repair (1, $750)",175,Composite - Architectural,1380,675800,863114,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
13511 43rd Avenue Southeast,Mill Creek,Washington,98012,"Moss Removal (1, $460), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $270), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $215), House Wash (1, $1285), Interior Window Cleaning (1, $165), Exterior Window Cleaning (1, $225), Screen Cleaning (1, $45), Window Cleaning Discount (1, $-30), Booking Discount (1, $-200), 60-Day Workmanship Guarantee (1, $0), Gutter Guard Installation (1, $1325), Track Cleaning (1, $140), Window Frame Cleaning  (1, $90), Pressure Washing - Driveway & Front Walkway (1, $415)",160,Composite - Architectural,2080,887000,893071,N/A,,Composite - Architectural,9 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13513 Northeast 200th Street,Woodinville,Washington,98072,"Skylight Cleaning (1, $75), House Wash (1, $1315), Interior Window Cleaning (1, $240), Exterior Window Cleaning (1, $370), Screen Cleaning (1, $60), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-75), Booking Discount (1, $-75), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $375), Exterior Gutter Washing (1, $315), Gutter Guard Installation (1, $1990), Track Cleaning (1, $204), Window Frame Cleaning  (1, $148)",160,Composite - Architectural,3630,1555300,1585613,N/A,,Composite - Architectural,9 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
13522 Wallingford Avenue North,Seattle,Washington,98133,"Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $160), Exterior Window Cleaning (1, $230), Screen Cleaning (1, $50), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $145), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1300), Track Cleaning (1, $136), Window Frame Cleaning  (1, $92)",145,Composite - Architectural,2200,921600,752813,N/A,,Composite - Architectural,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13526 476th Avenue Southeast,North Bend,Washington,98045,"Roof Wash (1, $3625), Roof Treatment (1, $725), Preventative Roof Treatment - Chemical Spray (1, $300), Preventative Roof Treatment - Zinc Powder (1, $250), Gutter Clearing (1, $615), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $400), Interior Window Cleaning (1, $440), Exterior Window Cleaning (1, $630), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $85), Window Cleaning Discount (1, $-100), Booking Discount (1, $-400), 60-Day Workmanship Guarantee (1, $0), Track Cleaning (1, $374), Window Frame Cleaning  (1, $252)",250,Composite - Presidential,2850,1825000,1408685,2,,Composite - Presidential,11 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,20ft,,,
13527 39th Avenue Northeast,Seattle,Washington,98125,"Gutter Clearing (1, $245), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $195), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $140), Exterior Gutter Washing (1, $195), Interior Window Cleaning (1, $150), Screen Cleaning (1, $50), Track Cleaning (1, $127), Window Frame Cleaning  (1, $78)",140,Composite - 3 Tab,2120,807100,760825,N/A,,Composite - 3 Tab,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13529 Burke Avenue North,Seattle,Washington,98133,"Preventative Roof Treatment - Chemical Spray (1, $145), Preventative Roof Treatment - Zinc Powder (1, $170), Gutter Clearing (1, $230), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-35), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $175), Interior Window Cleaning (1, $145), Exterior Window Cleaning (1, $190), Screen Cleaning (1, $30), Track Cleaning (1, $123), Window Frame Cleaning  (1, $76)",170,Composite - Architectural,1220,761700,822673,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
13529 Southeast 57th Street,Bellevue,Washington,98006,"Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1310), Interior Window Cleaning (1, $265), Exterior Window Cleaning (1, $380), Screen Cleaning (1, $40), Track Cleaning (1, $225), Window Frame Cleaning  (1, $152), Window Cleaning Discount (1, $-100), Skylight Cleaning (1, $120)",160,Composite - Architectural,2100,1574200,1845463,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft,,,
13529 Southeast 57th Street,Bellevue,Washington,98006,"Moss Removal (1, $415), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Skylight Cleaning (1, $120), Interior Window Cleaning (1, $265), Exterior Window Cleaning (1, $380), Screen Cleaning (1, $40), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-100), Booking Discount (1, $-120), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $210), Track Cleaning (1, $225), Window Frame Cleaning  (1, $152)",160,Composite - Architectural,2100,1574200,1845463,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft,,,
13529 Southeast 57th Street,Bellevue,Washington,98006,"Skylight Cleaning (1, $120), Exterior Window Cleaning (1, $380), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $275), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1310), Interior Window Cleaning (1, $265), Screen Cleaning (1, $40), Track Cleaning (1, $225), Window Frame Cleaning  (1, $152)",160,Composite - Architectural,2100,1574200,1845463,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft,,,
13529 Southeast 57th Street,Bellevue,Washington,98006,"Skylight Cleaning (1, $120), Interior Window Cleaning (1, $265), Exterior Window Cleaning (1, $380), Screen Cleaning (1, $40), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $275), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1310), Track Cleaning (1, $225), Window Frame Cleaning  (1, $152)",160,Composite - Architectural,2100,1574200,1845463,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft,,,
13537 Southeast 81st Place,Newcastle,Washington,98059,"Gutter Clearing (1, $335), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $210), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1620), House Wash (1, $1685), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $355), Screen Cleaning (1, $60), Track Cleaning (1, $191), Window Frame Cleaning  (1, $142), Window Cleaning Discount (1, $-85)",180,Composite - Architectural,3176,1835000,1455400,2,,Composite - Architectural,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft,,,
13555 Roosevelt Way North,Seattle,Washington,98133,"Moss Removal (1, $570), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $145), Gutter Clearing (1, $240), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-110), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $190), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $40), Track Cleaning (1, $178), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-55)",145,Composite - Architectural,2110,850000,835383,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13558 39th Avenue Northeast,Seattle,Washington,98125,"Moss Removal (1, $2140), Preventative Roof Treatment - Chemical Spray (1, $230), Preventative Roof Treatment - Zinc Powder (1, $210), Gutter Clearing (1, $365), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-200), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $290), Interior Window Cleaning (1, $390), Exterior Window Cleaning (1, $475), Screen Cleaning (1, $70), Track Cleaning (1, $331), Window Frame Cleaning  (1, $190), Window Cleaning Discount (1, $-85)",210,Composite - Architectural,4740,1687500,1167244,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft,,,
13558 39th Avenue Northeast,Seattle,Washington,98125,"Moss Removal (1, $2140), Preventative Roof Treatment - Chemical Spray (1, $230), Preventative Roof Treatment - Zinc Powder (1, $210), Gutter Clearing (1, $365), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-200), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $290), Interior Window Cleaning (1, $390), Exterior Window Cleaning (1, $475), Screen Cleaning (1, $70), Track Cleaning (1, $331), Window Frame Cleaning  (1, $190), Window Cleaning Discount (1, $-85)",210,Composite - Architectural,4740,1687500,1167244,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft,,,
136 North 203rd Street,Shoreline,Washington,98133,"Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $135), Gutter Clearing (1, $225), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $175), Interior Window Cleaning (1, $140), Exterior Window Cleaning (1, $175), Screen Cleaning (1, $35), Track Cleaning (1, $119), Window Frame Cleaning  (1, $70), Skylight Cleaning (1, $60), Discount (1, $-74)",135,Composite - Architectural,1870,947400,834286,Multi/Split,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft,,,
13602 Southeast 66th Court,Newcastle,Washington,98059,"Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $125), Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-40), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $300), Gutter Guard Installation (1, $1080), House Wash (1, $1525), Interior Window Cleaning (1, $280), Exterior Window Cleaning (1, $400), Screen Cleaning (1, $80), Track Cleaning (1, $238), Window Frame Cleaning  (1, $160), Window Cleaning Discount (1, $-95), Pressure Washing - Driveway  (1, $250)",125,Composite - Architectural,2027,1084400,147919,N/A,,Composite - Architectural,7 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft,,,
13611 Southeast Linden Lane,Oak Grove,Oregon,97222,"Roof Wash (1, $1450), Roof Treatment (1, $290), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $175), Gutter Clearing (1, $280), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-160), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $250), Gutter Guard Installation (1, $1355), Interior Window Cleaning (1, $290), Exterior Window Cleaning (1, $380), Screen Cleaning (1, $40), Track Cleaning (1, $246), Window Frame Cleaning  (1, $152)",175,Composite - Presidential,2400,607200,576563,N/A,,Composite - Presidential,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13616 161st Place Southeast,Renton,Washington,98059,"Roof Wash (1, $1850), Roof Treatment (1, $370), Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $335), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $200), Gutter Guard Installation (1, $1250), Interior Window Cleaning (1, $250), Screen Cleaning (1, $65), Track Cleaning (1, $212), Window Frame Cleaning  (1, $134), Window Cleaning Discount (1, $-85)",150,Composite - Architectural,3176,1280700,1258014,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13616 Northeast 132nd Place,Kirkland,Washington,98034,"Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $330), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $40), Window Cleaning Discount (1, $-85), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $280), Exterior Gutter Washing (1, $215), Gutter Guard Installation (1, $1345), Track Cleaning (1, $191), Window Frame Cleaning  (1, $132), Skylight Cleaning (1, $30)",150,Composite - Architectural,2760,1835000,1769816,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft,,,
13620 94th Avenue Northeast,Kirkland,Washington,98034,"Partial Moss Removal (1, $250), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $130), Gutter Clearing (1, $280), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-160), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $230), Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $290), Screen Cleaning (1, $70), Track Cleaning (1, $153), Window Frame Cleaning  (1, $116), Window Cleaning Discount (1, $-120), Pressure Washing - Patio (1, $340), Pressure Washing - Walkway (1, $340)",130,Composite - Architectural,3000,1691200,1195025,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
13624 Southeast 18th Street,Bellevue,Washington,98005,"Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Window Cleaning (1, $295), Interior Window Cleaning (1, $225), Screen Cleaning (1, $60), Skylight Cleaning (1, $90), Window Cleaning Discount (1, $-100)",160,Composite - Architectural,2550,1701900,1649213,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13624 Southeast 18th Street,Bellevue,Washington,98005,"Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Skylight Cleaning (1, $90), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $295), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $60), Window Cleaning Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $210), Gutter Reslope (1, $225), Track Cleaning (1, $191), Window Frame Cleaning  (1, $118)",160,Composite - Architectural,2550,1701900,1649213,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13629 3rd Drive Southeast,Everett,Washington,98208,"Roof Anchor Installation (1, $1350), Moss Removal (1, $1885), Preventative Roof Treatment - Chemical Spray (1, $325), Preventative Roof Treatment - Zinc Powder (1, $275), Gutter Clearing (1, $620), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-300), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $470), Gutter Guard Installation (1, $3120), Interior Window Cleaning (1, $420), Exterior Window Cleaning (1, $585), Screen Cleaning (1, $100), Track Cleaning (1, $357), Window Frame Cleaning  (1, $234), Window Cleaning Discount (1, $-125)",275,Composite - Architectural,4150,1882500,1399163,N/A,,Composite - Architectural,12 / 12,4 - 8,20ft,9 - 20,20ft,9 - 20,20ft,,,
13646 Southeast 37th Street,Bellevue,Washington,98006,"Inclusions (1, $0), Moss Removal (1, $450), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $135), Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-50), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $200), Gutter Guard Installation (1, $1085), House Wash (1, $1220), Interior Window Cleaning (1, $160), Exterior Window Cleaning (1, $225), Screen Cleaning (1, $40), Track Cleaning (1, $136), Window Frame Cleaning  (1, $90), Window Cleaning Discount (1, $-55)",135,Composite - Architectural,1510,1174200,1841850,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,28ft,,,
13665 Connor Loop Northwest,Silverdale,Washington,98383,"Roof Wash (1, $1350), Roof Treatment (1, $270), Gutter Clearing (1, $310), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), House Wash (1, $1410), Exterior Window Cleaning (1, $285), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-200), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $225), Gutter Guard Installation (1, $1550), Interior Window Cleaning (1, $220), Screen Cleaning (1, $50), Track Cleaning (1, $187), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-70), Pressure Washing - Driveway  (1, $480)",170,Composite - Architectural,1970,540000,506513,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
